FIPS,year,value
02164,2020-01-01,438
02170,2020-01-01,1140
02180,2020-01-01,1660
02185,2020-01-01,2030
02188,2020-01-01,291
02195,2020-01-01,139
02198,2020-01-01,567
02220,2020-01-01,1835
02230,2020-01-01,1520
02240,2020-01-01,1846
02261,2020-01-01,1881
02275,2020-01-01,182
02282,2020-01-01,451
02290,2020-01-01,722
04001,2020-01-01,1428
04003,2020-01-01,1858
04005,2020-01-01,1198
04007,2020-01-01,409
04009,2020-01-01,1396
04011,2020-01-01,640
04012,2020-01-01,2025
04013,2020-01-01,1164
04015,2020-01-01,533
04017,2020-01-01,1627
04019,2020-01-01,1342
04021,2020-01-01,1723
04023,2020-01-01,1609
04025,2020-01-01,1313
04027,2020-01-01,1489
05001,2020-01-01,713
05003,2020-01-01,1153
05005,2020-01-01,1462
05007,2020-01-01,818
05009,2020-01-01,235
05011,2020-01-01,2014
05013,2020-01-01,142
05015,2020-01-01,792
05017,2020-01-01,1344
05019,2020-01-01,1059
05021,2020-01-01,717
05023,2020-01-01,1913
05025,2020-01-01,914
05027,2020-01-01,1719
05029,2020-01-01,366
05031,2020-01-01,615
05033,2020-01-01,1043
05035,2020-01-01,1195
05037,2020-01-01,379
05039,2020-01-01,1667
05041,2020-01-01,1367
05043,2020-01-01,1993
05045,2020-01-01,313
05047,2020-01-01,1793
05049,2020-01-01,454
05051,2020-01-01,190
05053,2020-01-01,493
05055,2020-01-01,1483
05057,2020-01-01,1481
05059,2020-01-01,724
05061,2020-01-01,494
05063,2020-01-01,1737
05065,2020-01-01,1547
05067,2020-01-01,1833
05069,2020-01-01,47
05071,2020-01-01,336
05073,2020-01-01,177
05075,2020-01-01,215
05077,2020-01-01,764
05079,2020-01-01,2036
05081,2020-01-01,969
05083,2020-01-01,1474
05085,2020-01-01,1958
05087,2020-01-01,570
05089,2020-01-01,486
05091,2020-01-01,1679
05093,2020-01-01,1944
05095,2020-01-01,2
05097,2020-01-01,763
05099,2020-01-01,802
05101,2020-01-01,1286
05103,2020-01-01,1443
05105,2020-01-01,1072
05107,2020-01-01,1307
05109,2020-01-01,1614
05111,2020-01-01,1940
05113,2020-01-01,964
05115,2020-01-01,89
05117,2020-01-01,462
05119,2020-01-01,1215
05121,2020-01-01,136
05123,2020-01-01,1178
05125,2020-01-01,389
05127,2020-01-01,1640
05129,2020-01-01,80
05131,2020-01-01,1811
05133,2020-01-01,1180
05135,2020-01-01,1272
05137,2020-01-01,1483
05139,2020-01-01,1053
05141,2020-01-01,757
05143,2020-01-01,787
05145,2020-01-01,274
05147,2020-01-01,2021
05149,2020-01-01,2009
06001,2020-01-01,493
06003,2020-01-01,1848
06005,2020-01-01,348
06007,2020-01-01,1895
06009,2020-01-01,226
06011,2020-01-01,1915
06013,2020-01-01,273
06015,2020-01-01,512
06017,2020-01-01,316
06019,2020-01-01,1021
06021,2020-01-01,1691
06023,2020-01-01,56
06025,2020-01-01,942
06027,2020-01-01,1297
06029,2020-01-01,1635
06031,2020-01-01,895
06033,2020-01-01,4
06035,2020-01-01,150
06037,2020-01-01,1641
06039,2020-01-01,561
06041,2020-01-01,146
06043,2020-01-01,155
06045,2020-01-01,1291
06047,2020-01-01,1264
06049,2020-01-01,144
06051,2020-01-01,357
06053,2020-01-01,1055
06055,2020-01-01,2038
06057,2020-01-01,1071
06059,2020-01-01,1264
06061,2020-01-01,325
06063,2020-01-01,111
06065,2020-01-01,1017
06067,2020-01-01,1737
06069,2020-01-01,813
06071,2020-01-01,1824
06073,2020-01-01,1199
06075,2020-01-01,197
06077,2020-01-01,1499
06079,2020-01-01,1202
06081,2020-01-01,51
06083,2020-01-01,2037
06085,2020-01-01,1492
06087,2020-01-01,1144
06089,2020-01-01,342
06091,2020-01-01,34
06093,2020-01-01,349
06095,2020-01-01,1786
06097,2020-01-01,559
06099,2020-01-01,225
06101,2020-01-01,844
06103,2020-01-01,1209
06105,2020-01-01,1409
06107,2020-01-01,382
06109,2020-01-01,1250
06111,2020-01-01,544
06113,2020-01-01,807
06115,2020-01-01,1838
08001,2020-01-01,65
08003,2020-01-01,700
08005,2020-01-01,1619
08007,2020-01-01,1877
08009,2020-01-01,1301
08011,2020-01-01,1392
08013,2020-01-01,1675
08014,2020-01-01,689
08015,2020-01-01,1013
08017,2020-01-01,840
08019,2020-01-01,103
08021,2020-01-01,1133
08023,2020-01-01,6
08025,2020-01-01,784
08027,2020-01-01,1812
08029,2020-01-01,158
08031,2020-01-01,619
08033,2020-01-01,1954
08035,2020-01-01,1995
08037,2020-01-01,1721
08039,2020-01-01,1592
08041,2020-01-01,1888
08043,2020-01-01,139
08045,2020-01-01,602
08047,2020-01-01,1228
08049,2020-01-01,1489
08051,2020-01-01,1138
08053,2020-01-01,462
08055,2020-01-01,1682
08057,2020-01-01,1837
08059,2020-01-01,937
08061,2020-01-01,810
08063,2020-01-01,1503
08065,2020-01-01,1027
08067,2020-01-01,1689
08069,2020-01-01,979
08071,2020-01-01,510
08073,2020-01-01,1856
08075,2020-01-01,114
08077,2020-01-01,1350
08079,2020-01-01,451
08081,2020-01-01,1947
08083,2020-01-01,919
08085,2020-01-01,1582
08087,2020-01-01,1435
08089,2020-01-01,353
08091,2020-01-01,1656
08093,2020-01-01,334
08095,2020-01-01,421
08097,2020-01-01,1663
08099,2020-01-01,202
08101,2020-01-01,1503
08103,2020-01-01,349
08105,2020-01-01,1848
08107,2020-01-01,1253
08109,2020-01-01,1164
08111,2020-01-01,830
08113,2020-01-01,936
08115,2020-01-01,128
08117,2020-01-01,402
08119,2020-01-01,1849
08121,2020-01-01,932
08123,2020-01-01,931
08125,2020-01-01,1282
09001,2020-01-01,751
09003,2020-01-01,1861
09005,2020-01-01,10
09007,2020-01-01,1478
09009,2020-01-01,905
09011,2020-01-01,1778
09013,2020-01-01,1289
09015,2020-01-01,1493
10001,2020-01-01,1431
10003,2020-01-01,39
10005,2020-01-01,1922
11001,2020-01-01,1964
12001,2020-01-01,299
12003,2020-01-01,384
12005,2020-01-01,70
12007,2020-01-01,942
12009,2020-01-01,883
12011,2020-01-01,1868
12013,2020-01-01,1714
12015,2020-01-01,23
12017,2020-01-01,853
12019,2020-01-01,1915
12021,2020-01-01,264
12023,2020-01-01,1839
12027,2020-01-01,1141
12029,2020-01-01,474
12031,2020-01-01,1378
12033,2020-01-01,183
12035,2020-01-01,995
12037,2020-01-01,1043
12039,2020-01-01,1691
12041,2020-01-01,1641
12043,2020-01-01,316
12045,2020-01-01,1897
12047,2020-01-01,66
12049,2020-01-01,1714
12051,2020-01-01,1335
12053,2020-01-01,1030
12055,2020-01-01,208
12057,2020-01-01,37
12059,2020-01-01,1498
12061,2020-01-01,2041
12063,2020-01-01,1178
12065,2020-01-01,913
12067,2020-01-01,1725
12069,2020-01-01,1077
12071,2020-01-01,771
12073,2020-01-01,1680
12075,2020-01-01,166
12077,2020-01-01,1000
12079,2020-01-01,1888
12081,2020-01-01,58
12083,2020-01-01,1863
12085,2020-01-01,1130
12086,2020-01-01,1024
12087,2020-01-01,666
12089,2020-01-01,326
12091,2020-01-01,765
12093,2020-01-01,1447
12095,2020-01-01,1465
12097,2020-01-01,20
12099,2020-01-01,1584
12101,2020-01-01,1288
12103,2020-01-01,1562
12105,2020-01-01,1145
12107,2020-01-01,1703
12109,2020-01-01,1692
12111,2020-01-01,1960
12113,2020-01-01,979
12115,2020-01-01,1294
12117,2020-01-01,187
12119,2020-01-01,557
12121,2020-01-01,874
12123,2020-01-01,1703
12125,2020-01-01,1192
12127,2020-01-01,703
12129,2020-01-01,1938
12131,2020-01-01,1812
12133,2020-01-01,772
13001,2020-01-01,305
13003,2020-01-01,1227
13005,2020-01-01,951
13007,2020-01-01,1780
13009,2020-01-01,392
13011,2020-01-01,1347
13013,2020-01-01,183
13015,2020-01-01,1969
13017,2020-01-01,1997
13019,2020-01-01,1371
13021,2020-01-01,995
13023,2020-01-01,1183
13025,2020-01-01,355
13027,2020-01-01,1394
13029,2020-01-01,814
13031,2020-01-01,590
13033,2020-01-01,1671
13035,2020-01-01,1645
13037,2020-01-01,372
13039,2020-01-01,878
13043,2020-01-01,658
13045,2020-01-01,974
13047,2020-01-01,1747
13049,2020-01-01,1530
13051,2020-01-01,445
13053,2020-01-01,127
13055,2020-01-01,2011
13057,2020-01-01,265
13059,2020-01-01,1544
13061,2020-01-01,1410
13063,2020-01-01,142
13065,2020-01-01,2046
13067,2020-01-01,1621
13069,2020-01-01,1905
13071,2020-01-01,251
13073,2020-01-01,1871
13075,2020-01-01,168
13077,2020-01-01,1100
13079,2020-01-01,1495
13081,2020-01-01,1515
13083,2020-01-01,1690
13085,2020-01-01,598
13087,2020-01-01,579
13089,2020-01-01,586
13091,2020-01-01,1735
13093,2020-01-01,1631
13095,2020-01-01,1485
13097,2020-01-01,802
13099,2020-01-01,993
13101,2020-01-01,1317
13103,2020-01-01,1380
13105,2020-01-01,1505
13107,2020-01-01,856
13109,2020-01-01,1047
13111,2020-01-01,100
13113,2020-01-01,708
13115,2020-01-01,565
13117,2020-01-01,138
13119,2020-01-01,263
13121,2020-01-01,691
13123,2020-01-01,282
13125,2020-01-01,178
13127,2020-01-01,1691
13129,2020-01-01,1845
13131,2020-01-01,62
13133,2020-01-01,2001
13135,2020-01-01,1431
13137,2020-01-01,1436
13139,2020-01-01,1808
13141,2020-01-01,316
13143,2020-01-01,1967
13145,2020-01-01,1057
13147,2020-01-01,1777
13149,2020-01-01,1922
13151,2020-01-01,1989
13153,2020-01-01,1216
13155,2020-01-01,1737
13157,2020-01-01,1592
13159,2020-01-01,1994
13161,2020-01-01,674
13163,2020-01-01,465
13165,2020-01-01,460
13167,2020-01-01,1035
13169,2020-01-01,1495
13171,2020-01-01,1592
13173,2020-01-01,1434
13175,2020-01-01,1454
13177,2020-01-01,114
13179,2020-01-01,1915
13181,2020-01-01,562
13183,2020-01-01,421
13185,2020-01-01,611
13187,2020-01-01,1213
13189,2020-01-01,1222
13191,2020-01-01,1736
13193,2020-01-01,416
13195,2020-01-01,691
13197,2020-01-01,1512
13199,2020-01-01,1328
13201,2020-01-01,904
13205,2020-01-01,217
13207,2020-01-01,202
13209,2020-01-01,1017
13211,2020-01-01,78
13213,2020-01-01,1760
13215,2020-01-01,1675
13217,2020-01-01,1915
13219,2020-01-01,1654
13221,2020-01-01,55
13223,2020-01-01,42
13225,2020-01-01,1021
13227,2020-01-01,1591
13229,2020-01-01,1973
13231,2020-01-01,1463
13233,2020-01-01,827
13235,2020-01-01,1041
13237,2020-01-01,1176
13239,2020-01-01,1629
13241,2020-01-01,1649
13243,2020-01-01,1890
13245,2020-01-01,616
13247,2020-01-01,818
13249,2020-01-01,1115
13251,2020-01-01,294
13253,2020-01-01,329
13255,2020-01-01,1158
13257,2020-01-01,1729
13259,2020-01-01,1734
13261,2020-01-01,582
13263,2020-01-01,1026
13265,2020-01-01,1970
13267,2020-01-01,174
13269,2020-01-01,1627
13271,2020-01-01,768
13273,2020-01-01,248
13275,2020-01-01,1764
13277,2020-01-01,1309
13279,2020-01-01,1566
13281,2020-01-01,1144
13283,2020-01-01,707
13285,2020-01-01,642
13287,2020-01-01,2017
13289,2020-01-01,1907
13291,2020-01-01,143
13293,2020-01-01,1307
13295,2020-01-01,1553
13297,2020-01-01,688
13299,2020-01-01,1894
13301,2020-01-01,30
13303,2020-01-01,396
13305,2020-01-01,1457
13307,2020-01-01,1188
13309,2020-01-01,1577
13311,2020-01-01,36
13313,2020-01-01,1454
13315,2020-01-01,1274
13317,2020-01-01,127
13319,2020-01-01,1799
13321,2020-01-01,1948
15001,2020-01-01,886
15003,2020-01-01,156
15005,2020-01-01,243
15007,2020-01-01,1328
15009,2020-01-01,1300
16001,2020-01-01,1571
16003,2020-01-01,226
16005,2020-01-01,1026
16007,2020-01-01,522
16009,2020-01-01,118
16011,2020-01-01,452
16013,2020-01-01,374
16015,2020-01-01,2023
16017,2020-01-01,722
16019,2020-01-01,14
16021,2020-01-01,15
16023,2020-01-01,66
16025,2020-01-01,1491
16027,2020-01-01,81
16029,2020-01-01,1207
16031,2020-01-01,1380
16033,2020-01-01,769
16035,2020-01-01,742
16037,2020-01-01,1537
16039,2020-01-01,1503
16041,2020-01-01,1389
16043,2020-01-01,1042
16045,2020-01-01,265
16047,2020-01-01,792
16049,2020-01-01,555
16051,2020-01-01,35
16053,2020-01-01,1977
16055,2020-01-01,1514
16057,2020-01-01,1851
16059,2020-01-01,733
16061,2020-01-01,1857
16063,2020-01-01,1591
16065,2020-01-01,124
16067,2020-01-01,1290
16069,2020-01-01,350
16071,2020-01-01,1764
16073,2020-01-01,408
16075,2020-01-01,1932
16077,2020-01-01,1541
16079,2020-01-01,219
16081,2020-01-01,627
16083,2020-01-01,686
16085,2020-01-01,1337
16087,2020-01-01,1857
17001,2020-01-01,169
17003,2020-01-01,460
17005,2020-01-01,346
17007,2020-01-01,443
17009,2020-01-01,1676
17011,2020-01-01,687
17013,2020-01-01,436
17015,2020-01-01,1584
17017,2020-01-01,948
17019,2020-01-01,1121
17021,2020-01-01,1410
17023,2020-01-01,466
17025,2020-01-01,1719
17027,2020-01-01,421
17029,2020-01-01,1369
17031,2020-01-01,1870
17033,2020-01-01,1803
17035,2020-01-01,116
17037,2020-01-01,1389
17039,2020-01-01,1
17041,2020-01-01,203
17043,2020-01-01,319
17045,2020-01-01,80
17047,2020-01-01,166
17049,2020-01-01,1241
17051,2020-01-01,1228
17053,2020-01-01,607
17055,2020-01-01,2046
17057,2020-01-01,729
17059,2020-01-01,420
17061,2020-01-01,1531
17063,2020-01-01,1676
17065,2020-01-01,557
17067,2020-01-01,558
17069,2020-01-01,804
17071,2020-01-01,818
17073,2020-01-01,369
17075,2020-01-01,1863
17077,2020-01-01,1087
17079,2020-01-01,1860
17081,2020-01-01,1336
17083,2020-01-01,594
17085,2020-01-01,2025
17087,2020-01-01,1198
17089,2020-01-01,1429
17091,2020-01-01,2012
17093,2020-01-01,892
17095,2020-01-01,1184
17097,2020-01-01,1780
17099,2020-01-01,1448
17101,2020-01-01,1242
17103,2020-01-01,1233
17105,2020-01-01,1579
17107,2020-01-01,27
17109,2020-01-01,280
17111,2020-01-01,159
17113,2020-01-01,1181
17115,2020-01-01,1249
17117,2020-01-01,2029
17119,2020-01-01,1496
17121,2020-01-01,1810
17123,2020-01-01,311
17125,2020-01-01,848
17127,2020-01-01,1933
17129,2020-01-01,1713
17131,2020-01-01,1993
17133,2020-01-01,915
17135,2020-01-01,364
17137,2020-01-01,1612
17139,2020-01-01,238
17141,2020-01-01,839
17143,2020-01-01,292
17145,2020-01-01,36
17147,2020-01-01,936
17149,2020-01-01,601
17151,2020-01-01,1666
17153,2020-01-01,69
17155,2020-01-01,235
17157,2020-01-01,1099
17159,2020-01-01,418
17161,2020-01-01,1494
17163,2020-01-01,602
17165,2020-01-01,1775
17167,2020-01-01,635
17169,2020-01-01,1358
17171,2020-01-01,454
17173,2020-01-01,1378
17175,2020-01-01,282
17177,2020-01-01,1518
17179,2020-01-01,2009
17181,2020-01-01,1530
17183,2020-01-01,1992
17185,2020-01-01,413
17187,2020-01-01,835
17189,2020-01-01,1262
17191,2020-01-01,555
17193,2020-01-01,195
17195,2020-01-01,1419
17197,2020-01-01,1743
17199,2020-01-01,1532
17201,2020-01-01,1224
17203,2020-01-01,1315
18001,2020-01-01,212
18003,2020-01-01,1452
18005,2020-01-01,1818
18007,2020-01-01,803
18009,2020-01-01,1645
18011,2020-01-01,936
18013,2020-01-01,811
18015,2020-01-01,995
18017,2020-01-01,1230
18019,2020-01-01,627
18021,2020-01-01,1246
18023,2020-01-01,156
18025,2020-01-01,964
18027,2020-01-01,1847
18029,2020-01-01,1927
18031,2020-01-01,931
18033,2020-01-01,1374
18035,2020-01-01,427
18037,2020-01-01,554
18039,2020-01-01,1426
18041,2020-01-01,1369
18043,2020-01-01,1691
18045,2020-01-01,1740
18047,2020-01-01,479
18049,2020-01-01,894
18051,2020-01-01,275
18053,2020-01-01,642
18055,2020-01-01,1390
18057,2020-01-01,883
18059,2020-01-01,1921
18061,2020-01-01,1506
18063,2020-01-01,1763
18065,2020-01-01,1224
18067,2020-01-01,1346
18069,2020-01-01,594
18071,2020-01-01,413
18073,2020-01-01,33
18075,2020-01-01,25
18077,2020-01-01,988
18079,2020-01-01,1711
18081,2020-01-01,203
18083,2020-01-01,42
18085,2020-01-01,552
18087,2020-01-01,480
18089,2020-01-01,1751
18091,2020-01-01,480
18093,2020-01-01,1677
18095,2020-01-01,802
18097,2020-01-01,1606
18099,2020-01-01,1009
18101,2020-01-01,517
18103,2020-01-01,276
18105,2020-01-01,1771
18107,2020-01-01,1721
18109,2020-01-01,604
18111,2020-01-01,675
18113,2020-01-01,80
18115,2020-01-01,1970
18117,2020-01-01,339
18119,2020-01-01,533
18121,2020-01-01,1825
18123,2020-01-01,1496
18125,2020-01-01,456
18127,2020-01-01,2028
18129,2020-01-01,580
18131,2020-01-01,1521
18133,2020-01-01,1814
18135,2020-01-01,782
18137,2020-01-01,663
18139,2020-01-01,870
18141,2020-01-01,139
18143,2020-01-01,97
18145,2020-01-01,1882
18147,2020-01-01,834
18149,2020-01-01,1057
18151,2020-01-01,552
18153,2020-01-01,550
18155,2020-01-01,362
18157,2020-01-01,1796
18159,2020-01-01,330
18161,2020-01-01,1325
18163,2020-01-01,1309
18165,2020-01-01,1074
18167,2020-01-01,524
18169,2020-01-01,1116
18171,2020-01-01,1828
18173,2020-01-01,189
18175,2020-01-01,565
18177,2020-01-01,96
18179,2020-01-01,172
18181,2020-01-01,850
18183,2020-01-01,958
19001,2020-01-01,1723
19003,2020-01-01,1250
19005,2020-01-01,1489
19007,2020-01-01,558
19009,2020-01-01,1593
19011,2020-01-01,776
19013,2020-01-01,1698
19015,2020-01-01,765
19017,2020-01-01,871
19019,2020-01-01,1059
19021,2020-01-01,1354
19023,2020-01-01,2019
19025,2020-01-01,120
19027,2020-01-01,1801
19029,2020-01-01,1881
19031,2020-01-01,0
19033,2020-01-01,1877
19035,2020-01-01,1537
19037,2020-01-01,994
19039,2020-01-01,185
19041,2020-01-01,1315
19043,2020-01-01,470
19045,2020-01-01,289
19047,2020-01-01,1151
19049,2020-01-01,1419
19051,2020-01-01,1022
19053,2020-01-01,493
19055,2020-01-01,1163
19057,2020-01-01,1382
19059,2020-01-01,735
19061,2020-01-01,766
19063,2020-01-01,1227
19065,2020-01-01,1027
19067,2020-01-01,1497
19069,2020-01-01,1047
19071,2020-01-01,893
19073,2020-01-01,1275
19075,2020-01-01,772
19077,2020-01-01,1228
19079,2020-01-01,663
19081,2020-01-01,1430
19083,2020-01-01,1485
19085,2020-01-01,831
19087,2020-01-01,566
19089,2020-01-01,1146
19091,2020-01-01,1217
19093,2020-01-01,404
19095,2020-01-01,987
19097,2020-01-01,1955
19099,2020-01-01,2014
19101,2020-01-01,779
19103,2020-01-01,1256
19105,2020-01-01,1803
19107,2020-01-01,1880
19109,2020-01-01,580
19111,2020-01-01,826
19113,2020-01-01,976
19115,2020-01-01,1974
19117,2020-01-01,1968
19119,2020-01-01,303
19121,2020-01-01,1095
19123,2020-01-01,1974
19125,2020-01-01,1866
19127,2020-01-01,1768
19129,2020-01-01,947
19131,2020-01-01,17
19133,2020-01-01,1228
19135,2020-01-01,1873
19137,2020-01-01,1605
19139,2020-01-01,516
19141,2020-01-01,289
19143,2020-01-01,75
19145,2020-01-01,990
19147,2020-01-01,1954
19149,2020-01-01,1808
19151,2020-01-01,329
19153,2020-01-01,1906
19155,2020-01-01,496
19157,2020-01-01,1673
19159,2020-01-01,1233
19161,2020-01-01,1196
19163,2020-01-01,388
19165,2020-01-01,644
19167,2020-01-01,733
19169,2020-01-01,1379
19171,2020-01-01,633
19173,2020-01-01,711
19175,2020-01-01,1925
19177,2020-01-01,248
19179,2020-01-01,935
19181,2020-01-01,1698
19183,2020-01-01,1288
19185,2020-01-01,1942
19187,2020-01-01,2014
19189,2020-01-01,1790
19191,2020-01-01,1371
19193,2020-01-01,464
19195,2020-01-01,1753
19197,2020-01-01,1679
20001,2020-01-01,1633
20003,2020-01-01,1133
20005,2020-01-01,1805
20007,2020-01-01,1417
20009,2020-01-01,998
20011,2020-01-01,106
20013,2020-01-01,733
20015,2020-01-01,511
20017,2020-01-01,247
20019,2020-01-01,569
20021,2020-01-01,187
20023,2020-01-01,834
20025,2020-01-01,1956
20027,2020-01-01,1830
20029,2020-01-01,1028
20031,2020-01-01,331
20033,2020-01-01,1612
20035,2020-01-01,274
20037,2020-01-01,547
20039,2020-01-01,1303
20041,2020-01-01,207
20043,2020-01-01,396
20045,2020-01-01,1346
20047,2020-01-01,1576
20049,2020-01-01,1887
20051,2020-01-01,534
20053,2020-01-01,2
20055,2020-01-01,181
20057,2020-01-01,1144
20059,2020-01-01,1451
20061,2020-01-01,1013
20063,2020-01-01,643
20065,2020-01-01,177
20067,2020-01-01,1204
20069,2020-01-01,1403
20071,2020-01-01,954
20073,2020-01-01,725
20075,2020-01-01,291
20077,2020-01-01,1390
20079,2020-01-01,395
20081,2020-01-01,130
20083,2020-01-01,426
20085,2020-01-01,1659
20087,2020-01-01,346
20089,2020-01-01,5
20091,2020-01-01,1840
20093,2020-01-01,202
20095,2020-01-01,1015
20097,2020-01-01,1967
20099,2020-01-01,39
20101,2020-01-01,992
20103,2020-01-01,1053
20105,2020-01-01,685
20107,2020-01-01,862
20109,2020-01-01,1855
20111,2020-01-01,241
20113,2020-01-01,1301
20115,2020-01-01,1755
20117,2020-01-01,415
20119,2020-01-01,1302
20121,2020-01-01,802
20123,2020-01-01,1897
20125,2020-01-01,2025
20127,2020-01-01,1105
20129,2020-01-01,1622
20131,2020-01-01,1305
20133,2020-01-01,517
20135,2020-01-01,1728
20137,2020-01-01,575
20139,2020-01-01,295
20141,2020-01-01,1606
20143,2020-01-01,783
20145,2020-01-01,1198
20147,2020-01-01,331
20149,2020-01-01,394
20151,2020-01-01,525
20153,2020-01-01,987
20155,2020-01-01,978
20157,2020-01-01,2032
20159,2020-01-01,255
20161,2020-01-01,718
20163,2020-01-01,325
20165,2020-01-01,1280
20167,2020-01-01,2017
20169,2020-01-01,1388
20171,2020-01-01,1438
20173,2020-01-01,78
20175,2020-01-01,1179
20177,2020-01-01,612
20179,2020-01-01,415
20181,2020-01-01,309
20183,2020-01-01,1498
20185,2020-01-01,908
20187,2020-01-01,330
20189,2020-01-01,475
20191,2020-01-01,1946
20193,2020-01-01,1745
20195,2020-01-01,901
20197,2020-01-01,812
20199,2020-01-01,882
20201,2020-01-01,1360
20203,2020-01-01,695
20205,2020-01-01,763
20207,2020-01-01,1828
20209,2020-01-01,207
21001,2020-01-01,478
21003,2020-01-01,804
21005,2020-01-01,1208
21007,2020-01-01,14
21009,2020-01-01,1979
21011,2020-01-01,2005
21013,2020-01-01,613
21015,2020-01-01,897
21017,2020-01-01,1350
21019,2020-01-01,617
21021,2020-01-01,1761
21023,2020-01-01,1122
21025,2020-01-01,10
21027,2020-01-01,1892
21029,2020-01-01,1318
21031,2020-01-01,1326
21033,2020-01-01,1977
21035,2020-01-01,291
21037,2020-01-01,1123
21039,2020-01-01,939
21041,2020-01-01,485
21043,2020-01-01,1637
21045,2020-01-01,616
21047,2020-01-01,1560
21049,2020-01-01,1492
21051,2020-01-01,1533
21053,2020-01-01,458
21055,2020-01-01,79
21057,2020-01-01,377
21059,2020-01-01,350
21061,2020-01-01,1565
21063,2020-01-01,1392
21065,2020-01-01,1760
21067,2020-01-01,187
21069,2020-01-01,1910
21071,2020-01-01,527
21073,2020-01-01,1035
21075,2020-01-01,749
21077,2020-01-01,1865
21079,2020-01-01,1458
21081,2020-01-01,587
21083,2020-01-01,368
21085,2020-01-01,986
21087,2020-01-01,1080
21089,2020-01-01,737
21091,2020-01-01,238
21093,2020-01-01,927
21095,2020-01-01,483
21097,2020-01-01,523
21099,2020-01-01,353
21101,2020-01-01,1498
21103,2020-01-01,553
21105,2020-01-01,1285
21107,2020-01-01,817
21109,2020-01-01,648
21111,2020-01-01,1953
21113,2020-01-01,1056
21115,2020-01-01,579
21117,2020-01-01,2026
21119,2020-01-01,791
21121,2020-01-01,1707
21123,2020-01-01,1056
21125,2020-01-01,547
21127,2020-01-01,1590
21129,2020-01-01,1871
21131,2020-01-01,1392
21133,2020-01-01,198
21135,2020-01-01,1852
21137,2020-01-01,1568
21139,2020-01-01,2021
21141,2020-01-01,1313
21143,2020-01-01,943
21145,2020-01-01,1537
21147,2020-01-01,566
21149,2020-01-01,252
21151,2020-01-01,1116
21153,2020-01-01,37
21155,2020-01-01,196
21157,2020-01-01,1019
21159,2020-01-01,1216
21161,2020-01-01,396
21163,2020-01-01,1916
21165,2020-01-01,1395
21167,2020-01-01,1050
21169,2020-01-01,786
21171,2020-01-01,954
21173,2020-01-01,772
21175,2020-01-01,203
21177,2020-01-01,278
21179,2020-01-01,1969
21181,2020-01-01,1929
21183,2020-01-01,132
21185,2020-01-01,533
21187,2020-01-01,209
21189,2020-01-01,1029
21191,2020-01-01,1588
21193,2020-01-01,1121
21195,2020-01-01,1201
21197,2020-01-01,1498
21199,2020-01-01,602
21201,2020-01-01,545
21203,2020-01-01,1456
21205,2020-01-01,768
21207,2020-01-01,553
21209,2020-01-01,2
21211,2020-01-01,599
21213,2020-01-01,693
21215,2020-01-01,1799
21217,2020-01-01,962
21219,2020-01-01,153
21221,2020-01-01,1723
21223,2020-01-01,1303
21225,2020-01-01,1992
21227,2020-01-01,1780
21229,2020-01-01,1815
21231,2020-01-01,389
21233,2020-01-01,45
21235,2020-01-01,1901
21237,2020-01-01,959
21239,2020-01-01,1297
22001,2020-01-01,22
22003,2020-01-01,1278
22005,2020-01-01,1820
